PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_dqn.py --resume weights_dqn_final.pth --episodes 3000
Device: cpu
Resumed from weights_dqn_final.pth

Training DQN | episodes=3000 | wall_obstacles=True | difficulty=0
======================================================================
Ep    25/3000 | steps=  24372 | mean_r=-11470.7 | success=  0.0% | loss=68.6387 | eps=0.988
Ep  1325/3000 | steps=1067502 | mean_r= -5764.8 | success=  0.0% | loss=17496.9899 | eps=0.493
Ep  1350/3000 | steps=1084042 | mean_r= -6007.0 | success=  0.0% | loss=16025.5734 | eps=0.485
Ep  1375/3000 | steps=1101919 | mean_r= -9240.4 | success=  0.0% | loss=13504.5258 | eps=0.477
Ep  1400/3000 | steps=1120359 | mean_r=-13125.9 | success=  0.0% | loss=11215.6289 | eps=0.468
Ep  1425/3000 | steps=1140114 | mean_r=-11249.4 | success=  0.0% | loss=8725.1425 | eps=0.458
Ep  1450/3000 | steps=1157069 | mean_r=-16397.8 | success=  0.0% | loss=7689.1102 | eps=0.450
Ep  1475/3000 | steps=1176028 | mean_r=-19067.7 | success=  0.0% | loss=6245.4058 | eps=0.441
Ep  1500/3000 | steps=1195591 | mean_r=-12328.0 | success=  0.0% | loss=5378.3194 | eps=0.432
Ep  1525/3000 | steps=1216713 | mean_r= -9523.2 | success=  0.0% | loss=5020.8423 | eps=0.422
Ep  1550/3000 | steps=1240918 | mean_r=-24051.3 | success=  0.0% | loss=4239.4795 | eps=0.411
Ep  1575/3000 | steps=1264627 | mean_r=-22093.5 | success=  0.0% | loss=3623.8549 | eps=0.399
Ep  1600/3000 | steps=1286890 | mean_r=-13890.8 | success=  0.0% | loss=3118.7975 | eps=0.389
Ep  1625/3000 | steps=1309128 | mean_r=-16915.6 | success=  0.0% | loss=2679.3406 | eps=0.378
Ep  1650/3000 | steps=1330908 | mean_r=-13654.3 | success=  0.0% | loss=2443.1646 | eps=0.368
Ep  1675/3000 | steps=1351401 | mean_r=-18990.4 | success=  0.0% | loss=2208.3354 | eps=0.358
Ep  1700/3000 | steps=1374128 | mean_r=-19060.0 | success=  0.0% | loss=2033.4266 | eps=0.347
Ep  1725/3000 | steps=1397200 | mean_r=-24023.4 | success=  0.0% | loss=1704.5927 | eps=0.336
Ep  1750/3000 | steps=1416982 | mean_r=-19636.8 | success=  0.0% | loss=1592.7206 | eps=0.327
Ep  1775/3000 | steps=1436995 | mean_r=-24511.0 | success=  0.0% | loss=1469.2401 | eps=0.317
Ep  1800/3000 | steps=1455432 | mean_r= -5346.7 | success=  0.0% | loss=1528.8906 | eps=0.309
Ep  1825/3000 | steps=1471593 | mean_r=-13971.6 | success=  0.0% | loss=1532.1886 | eps=0.301
Ep  1850/3000 | steps=1486615 | mean_r= -5234.8 | success=  0.0% | loss=1537.5328 | eps=0.294
Ep  1875/3000 | steps=1504786 | mean_r=-12281.2 | success=  0.0% | loss=1318.0856 | eps=0.285
Ep  1900/3000 | steps=1522096 | mean_r=-18143.2 | success=  0.0% | loss=1260.7646 | eps=0.277
Ep  1925/3000 | steps=1539377 | mean_r=-19185.9 | success=  0.0% | loss=1178.9875 | eps=0.269
Ep  1950/3000 | steps=1557732 | mean_r=-17600.0 | success=  0.0% | loss=1186.7590 | eps=0.260
Ep  1975/3000 | steps=1575599 | mean_r=-16837.7 | success=  0.0% | loss=1133.3054 | eps=0.252
Ep  2000/3000 | steps=1592523 | mean_r= -9350.1 | success=  0.0% | loss=1119.2955 | eps=0.244
Ep  2025/3000 | steps=1608375 | mean_r=-11216.2 | success=  0.0% | loss=1131.5735 | eps=0.236
Ep  2050/3000 | steps=1624974 | mean_r=-13700.6 | success=  0.0% | loss=1166.6826 | eps=0.228
Ep  2075/3000 | steps=1642475 | mean_r=-22060.1 | success=  0.0% | loss=1117.2310 | eps=0.220
Ep  2100/3000 | steps=1658627 | mean_r=-24691.3 | success=  0.0% | loss=1020.6086 | eps=0.212
Ep  2125/3000 | steps=1671531 | mean_r=-10976.1 | success=  0.0% | loss=942.6919 | eps=0.206
Ep  2150/3000 | steps=1686941 | mean_r=-23852.0 | success=  0.0% | loss=913.1228 | eps=0.199
Ep  2175/3000 | steps=1699744 | mean_r=-12508.2 | success=  0.0% | loss=900.8649 | eps=0.193
Ep  2200/3000 | steps=1715793 | mean_r=-25665.3 | success=  0.0% | loss=856.4310 | eps=0.185
Ep  2225/3000 | steps=1728888 | mean_r=-12858.5 | success=  4.0% | loss=811.0350 | eps=0.179
Ep  2250/3000 | steps=1743573 | mean_r=-11040.4 | success=  0.0% | loss=825.1383 | eps=0.172
Ep  2275/3000 | steps=1761440 | mean_r=-25800.4 | success=  0.0% | loss=758.2861 | eps=0.163
Ep  2300/3000 | steps=1778461 | mean_r=-26600.6 | success=  0.0% | loss=749.3113 | eps=0.155
Ep  2325/3000 | steps=1796342 | mean_r=-26523.0 | success=  0.0% | loss=670.9668 | eps=0.147
Ep  2350/3000 | steps=1809835 | mean_r=-23493.4 | success=  0.0% | loss=620.6676 | eps=0.140
Ep  2375/3000 | steps=1824411 | mean_r=-17528.8 | success=  0.0% | loss=609.5069 | eps=0.133
Ep  2400/3000 | steps=1835018 | mean_r=-13559.9 | success=  0.0% | loss=635.9636 | eps=0.128
Ep  2425/3000 | steps=1848497 | mean_r=-14911.4 | success=  0.0% | loss=575.2449 | eps=0.122
Ep  2450/3000 | steps=1861704 | mean_r=-15514.2 | success=  0.0% | loss=597.1005 | eps=0.116
Ep  2475/3000 | steps=1875019 | mean_r=-21224.7 | success=  4.0% | loss=645.9073 | eps=0.109
Ep  2500/3000 | steps=1889874 | mean_r=-20809.4 | success=  0.0% | loss=582.0026 | eps=0.102
Ep  2525/3000 | steps=1903540 | mean_r=-24190.3 | success=  0.0% | loss=535.8054 | eps=0.096
Ep  2550/3000 | steps=1918205 | mean_r=-22245.5 | success=  0.0% | loss=570.1718 | eps=0.089
Ep  2575/3000 | steps=1935297 | mean_r=-25414.2 | success=  0.0% | loss=484.7396 | eps=0.081
Ep  2600/3000 | steps=1953138 | mean_r=-29018.5 | success=  0.0% | loss=498.6495 | eps=0.072
Ep  2625/3000 | steps=1967726 | mean_r=-33667.4 | success=  0.0% | loss=495.1683 | eps=0.065
Ep  2650/3000 | steps=1984119 | mean_r=-33854.8 | success=  0.0% | loss=450.6091 | eps=0.058
Ep  2675/3000 | steps=1998259 | mean_r=-24542.0 | success=  0.0% | loss=459.4849 | eps=0.051
Ep  2700/3000 | steps=2012876 | mean_r=-28300.6 | success=  0.0% | loss=435.7101 | eps=0.050
Ep  2725/3000 | steps=2026663 | mean_r= -9260.6 | success=  0.0% | loss=467.5508 | eps=0.050
Ep  2750/3000 | steps=2039447 | mean_r=-21340.6 | success=  0.0% | loss=445.2479 | eps=0.050
Ep  2775/3000 | steps=2055544 | mean_r=-31076.6 | success=  0.0% | loss=418.2882 | eps=0.050
Ep  2800/3000 | steps=2068560 | mean_r=-28652.4 | success=  0.0% | loss=417.9183 | eps=0.050
Ep  2825/3000 | steps=2081258 | mean_r=-22543.0 | success=  0.0% | loss=419.7035 | eps=0.050
Ep  2850/3000 | steps=2092456 | mean_r=-18222.6 | success=  0.0% | loss=441.1017 | eps=0.050
Ep  2875/3000 | steps=2102453 | mean_r=-14956.0 | success=  0.0% | loss=451.5908 | eps=0.050
Ep  2900/3000 | steps=2117771 | mean_r=-24192.1 | success=  0.0% | loss=405.8634 | eps=0.050
Ep  2925/3000 | steps=2131092 | mean_r=-19521.4 | success=  0.0% | loss=401.2260 | eps=0.050
Ep  2950/3000 | steps=2150374 | mean_r=-50894.2 | success=  0.0% | loss=373.3803 | eps=0.050
Ep  2975/3000 | steps=2162945 | mean_r=-30324.0 | success=  0.0% | loss=410.5445 | eps=0.050
Ep  3000/3000 | steps=2176805 | mean_r=-30081.3 | success=  0.0% | loss=386.9734 | eps=0.050

Training complete. Final model → weights_dqn_final.pth
Best model (mean_r=-2088.7) → weights_dqn.pth
