PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_d3qn_per.py --episodes 6000 --difficulty 2 --wall_obstacles --resume weights_d3qn.pth 
Device: cuda
Resumed from weights_d3qn.pth

Training D3QN-PER | episodes=6000 | walls=ON | difficulty=2
======================================================================
Ep    25/6000 | steps=   25000 | mean_r=  -5422.0 | success=  0.0% | loss=0.1287 | eps=0.498 | beta=0.403 | stuck=  22.2
Ep  1050/6000 | steps= 1040510 | mean_r= -15528.0 | success=  4.0% | loss=0.0323 | eps=0.417 | beta=0.525 | stuck=  73.2
Ep  1075/6000 | steps= 1065510 | mean_r= -10032.4 | success=  0.0% | loss=0.0331 | eps=0.415 | beta=0.528 | stuck=  45.3
Ep  1100/6000 | steps= 1090510 | mean_r=  -7168.4 | success=  0.0% | loss=0.0323 | eps=0.413 | beta=0.531 | stuck=  31.0
Ep  1125/6000 | steps= 1115510 | mean_r=  -6724.4 | success=  0.0% | loss=0.0347 | eps=0.411 | beta=0.534 | stuck=  28.8
Ep  1150/6000 | steps= 1140510 | mean_r=  -4559.4 | success=  0.0% | loss=0.0362 | eps=0.409 | beta=0.537 | stuck=  17.9
Ep  1175/6000 | steps= 1165510 | mean_r=  -6574.7 | success=  0.0% | loss=0.0350 | eps=0.407 | beta=0.540 | stuck=  28.0
Ep  1200/6000 | steps= 1189932 | mean_r=  -5685.1 | success=  4.0% | loss=0.0351 | eps=0.405 | beta=0.543 | stuck=  24.1
Ep  1225/6000 | steps= 1214563 | mean_r= -12154.8 | success=  4.0% | loss=0.0404 | eps=0.403 | beta=0.546 | stuck=  56.4
Ep  1250/6000 | steps= 1239563 | mean_r=  -7387.0 | success=  0.0% | loss=0.0390 | eps=0.401 | beta=0.549 | stuck=  32.1
Ep  1275/6000 | steps= 1264563 | mean_r=  -9658.2 | success=  0.0% | loss=0.0439 | eps=0.399 | beta=0.552 | stuck=  43.4
Ep  1300/6000 | steps= 1289563 | mean_r= -10147.7 | success=  0.0% | loss=0.0535 | eps=0.397 | beta=0.555 | stuck=  45.9
Ep  1325/6000 | steps= 1314563 | mean_r=  -9228.8 | success=  0.0% | loss=0.0723 | eps=0.395 | beta=0.558 | stuck=  41.3
Ep  1350/6000 | steps= 1339563 | mean_r=  -9929.6 | success=  0.0% | loss=0.0849 | eps=0.393 | beta=0.561 | stuck=  44.8
Ep  1375/6000 | steps= 1364376 | mean_r=  -4014.2 | success=  4.0% | loss=0.0986 | eps=0.391 | beta=0.564 | stuck=  15.6
Ep  1400/6000 | steps= 1388573 | mean_r=  -9068.1 | success=  4.0% | loss=0.1085 | eps=0.389 | beta=0.567 | stuck=  41.0
Ep  1425/6000 | steps= 1413573 | mean_r=  -6498.3 | success=  0.0% | loss=0.1259 | eps=0.387 | beta=0.570 | stuck=  27.6
Ep  1450/6000 | steps= 1437899 | mean_r= -12596.9 | success=  4.0% | loss=0.1320 | eps=0.385 | beta=0.573 | stuck=  58.6
Ep  1475/6000 | steps= 1462899 | mean_r= -32225.4 | success=  0.0% | loss=0.2214 | eps=0.383 | beta=0.576 | stuck= 156.3
Ep  1500/6000 | steps= 1487715 | mean_r= -81008.6 | success=  4.0% | loss=0.2156 | eps=0.381 | beta=0.579 | stuck= 400.7
Ep  1525/6000 | steps= 1512071 | mean_r=-101570.9 | success=  4.0% | loss=0.2473 | eps=0.379 | beta=0.581 | stuck= 503.6
Ep  1550/6000 | steps= 1535584 | mean_r= -64047.2 | success=  8.0% | loss=0.2538 | eps=0.377 | beta=0.584 | stuck= 316.6
Ep  1575/6000 | steps= 1560119 | mean_r= -52888.1 | success=  4.0% | loss=0.2531 | eps=0.375 | beta=0.587 | stuck= 260.1
Ep  1600/6000 | steps= 1585119 | mean_r= -39826.3 | success=  0.0% | loss=0.2446 | eps=0.373 | beta=0.590 | stuck= 194.3
