PS D:\IITK SEM 4\CS780-OBELIX-main> python train_d3qn_per.py --episodes 10000 --wall_obstacles --resume weights_d3qn_final.pth
Device: cpu
Resumed from weights_d3qn_final.pth

Training D3QN-PER | episodes=10000 | walls=ON | difficulty=3
======================================================================
Ep   950/10000 | steps=  893072 | mean_r= -34659.5 | success=  8.0% | loss=7.1847 | eps=0.900 | beta=0.467 | stuck= 134.9
Ep   975/10000 | steps=  918072 | mean_r= -28569.6 | success=  0.0% | loss=6.3145 | eps=0.897 | beta=0.469 | stuck= 102.5
Ep  1000/10000 | steps=  938741 | mean_r= -22544.7 | success= 28.0% | loss=5.7000 | eps=0.894 | beta=0.470 | stuck=  72.4
Ep  1025/10000 | steps=  960888 | mean_r= -26321.0 | success= 16.0% | loss=5.1423 | eps=0.892 | beta=0.472 | stuck=  92.9
Ep  1050/10000 | steps=  983949 | mean_r= -26936.3 | success= 16.0% | loss=4.5928 | eps=0.889 | beta=0.474 | stuck=  98.7
Ep  1075/10000 | steps= 1007026 | mean_r= -20840.6 | success= 12.0% | loss=4.0500 | eps=0.887 | beta=0.476 | stuck=  61.4
Ep  1100/10000 | steps= 1028768 | mean_r= -19132.7 | success= 24.0% | loss=3.5944 | eps=0.884 | beta=0.477 | stuck=  62.2
  ✓ New best (ema_r=-25382.9) → weights_d3qn.pth
Ep  1125/10000 | steps= 1053536 | mean_r= -28046.0 | success=  4.0% | loss=3.1949 | eps=0.881 | beta=0.479 | stuck= 101.2
Ep  1150/10000 | steps= 1076586 | mean_r= -28258.6 | success= 12.0% | loss=2.8266 | eps=0.879 | beta=0.481 | stuck= 105.6
Ep  1175/10000 | steps= 1099587 | mean_r= -26810.9 | success= 12.0% | loss=2.5361 | eps=0.876 | beta=0.482 | stuck=  91.3
Ep  1200/10000 | steps= 1120855 | mean_r= -26843.3 | success= 24.0% | loss=2.2940 | eps=0.874 | beta=0.484 | stuck=  91.3
Ep  1225/10000 | steps= 1144107 | mean_r= -27004.2 | success= 12.0% | loss=2.0641 | eps=0.871 | beta=0.486 | stuck=  87.6
Ep  1250/10000 | steps= 1168328 | mean_r= -23077.3 | success=  4.0% | loss=1.8093 | eps=0.869 | beta=0.488 | stuck=  72.3
Ep  1275/10000 | steps= 1191790 | mean_r= -27378.7 | success= 20.0% | loss=1.6370 | eps=0.866 | beta=0.489 | stuck=  88.6
Ep  1300/10000 | steps= 1215629 | mean_r= -20595.7 | success= 16.0% | loss=1.4828 | eps=0.863 | beta=0.491 | stuck=  53.9
Ep  1325/10000 | steps= 1237875 | mean_r= -27966.1 | success= 28.0% | loss=1.3506 | eps=0.861 | beta=0.493 | stuck= 101.4
Ep  1350/10000 | steps= 1260575 | mean_r= -26186.0 | success= 20.0% | loss=1.2785 | eps=0.858 | beta=0.495 | stuck=  92.1
Ep  1375/10000 | steps= 1283806 | mean_r= -36015.6 | success=  8.0% | loss=1.1936 | eps=0.856 | beta=0.496 | stuck= 140.2
Ep  1400/10000 | steps= 1305843 | mean_r= -21729.4 | success= 28.0% | loss=1.1227 | eps=0.853 | beta=0.498 | stuck=  69.9
Ep  1425/10000 | steps= 1328899 | mean_r= -35353.3 | success= 20.0% | loss=1.0899 | eps=0.850 | beta=0.500 | stuck= 141.9
Ep  1450/10000 | steps= 1352883 | mean_r= -46588.5 | success=  8.0% | loss=1.1275 | eps=0.848 | beta=0.501 | stuck= 200.9
Ep  1475/10000 | steps= 1375468 | mean_r= -36843.5 | success= 20.0% | loss=1.1603 | eps=0.845 | beta=0.503 | stuck= 149.9
Ep  1500/10000 | steps= 1397038 | mean_r= -48974.2 | success= 32.0% | loss=1.2174 | eps=0.843 | beta=0.505 | stuck= 227.0
Ep  1525/10000 | steps= 1419343 | mean_r= -65555.0 | success= 24.0% | loss=1.2791 | eps=0.840 | beta=0.506 | stuck= 309.3
Ep  1550/10000 | steps= 1442914 | mean_r= -60822.7 | success= 12.0% | loss=1.3509 | eps=0.838 | beta=0.508 | stuck= 275.1
Ep  1575/10000 | steps= 1464810 | mean_r= -45402.8 | success= 24.0% | loss=1.3704 | eps=0.835 | beta=0.510 | stuck= 202.1
Ep  1600/10000 | steps= 1488609 | mean_r= -53533.3 | success= 16.0% | loss=1.3539 | eps=0.833 | beta=0.512 | stuck= 241.8
Ep  1625/10000 | steps= 1511281 | mean_r= -60677.6 | success= 24.0% | loss=1.2951 | eps=0.830 | beta=0.513 | stuck= 282.8
Ep  1650/10000 | steps= 1534171 | mean_r= -59887.4 | success= 16.0% | loss=1.2178 | eps=0.827 | beta=0.515 | stuck= 279.3
Ep  1675/10000 | steps= 1555200 | mean_r= -44024.8 | success= 36.0% | loss=1.1072 | eps=0.825 | beta=0.517 | stuck= 201.6
Ep  1700/10000 | steps= 1577106 | mean_r= -51730.0 | success= 16.0% | loss=1.0111 | eps=0.823 | beta=0.518 | stuck= 235.8
Ep  1725/10000 | steps= 1599468 | mean_r= -54080.8 | success= 20.0% | loss=0.9260 | eps=0.820 | beta=0.520 | stuck= 254.1
Ep  1750/10000 | steps= 1622362 | mean_r= -50497.0 | success= 24.0% | loss=0.8220 | eps=0.817 | beta=0.522 | stuck= 226.2
Ep  1775/10000 | steps= 1646502 | mean_r= -51466.1 | success=  8.0% | loss=0.7321 | eps=0.815 | beta=0.523 | stuck= 227.6
Ep  1800/10000 | steps= 1670596 | mean_r= -47632.2 | success=  8.0% | loss=0.6383 | eps=0.812 | beta=0.525 | stuck= 206.1
Ep  1825/10000 | steps= 1693223 | mean_r= -35309.4 | success= 28.0% | loss=0.5749 | eps=0.810 | beta=0.527 | stuck= 156.3
Ep  1850/10000 | steps= 1714185 | mean_r= -42205.4 | success= 24.0% | loss=0.5353 | eps=0.807 | beta=0.529 | stuck= 182.3
Ep  1875/10000 | steps= 1736984 | mean_r= -26393.9 | success= 20.0% | loss=0.5003 | eps=0.805 | beta=0.530 | stuck= 105.7
Ep  1900/10000 | steps= 1760001 | mean_r= -34695.9 | success= 20.0% | loss=0.4853 | eps=0.802 | beta=0.532 | stuck= 140.0
Ep  1925/10000 | steps= 1782527 | mean_r= -42734.4 | success= 24.0% | loss=0.4708 | eps=0.799 | beta=0.534 | stuck= 186.7
Ep  1950/10000 | steps= 1806650 | mean_r= -53854.3 | success= 16.0% | loss=0.4603 | eps=0.797 | beta=0.535 | stuck= 242.3
Ep  1975/10000 | steps= 1828283 | mean_r= -52203.2 | success= 16.0% | loss=0.4411 | eps=0.794 | beta=0.537 | stuck= 233.8
Ep  2000/10000 | steps= 1851308 | mean_r= -55396.4 | success= 20.0% | loss=0.4134 | eps=0.792 | beta=0.539 | stuck= 254.4
Ep  2025/10000 | steps= 1873954 | mean_r= -61853.2 | success= 20.0% | loss=0.3945 | eps=0.789 | beta=0.541 | stuck= 282.3
Ep  2050/10000 | steps= 1895210 | mean_r= -42097.3 | success= 28.0% | loss=0.3776 | eps=0.787 | beta=0.542 | stuck= 188.6
Ep  2075/10000 | steps= 1918075 | mean_r= -48926.8 | success= 16.0% | loss=0.3590 | eps=0.784 | beta=0.544 | stuck= 218.0
Ep  2100/10000 | steps= 1941894 | mean_r= -56924.6 | success=  8.0% | loss=0.3467 | eps=0.782 | beta=0.546 | stuck= 255.8
Ep  2125/10000 | steps= 1965657 | mean_r= -59315.4 | success= 12.0% | loss=0.3255 | eps=0.779 | beta=0.547 | stuck= 269.9
Ep  2150/10000 | steps= 1988967 | mean_r= -47601.1 | success= 12.0% | loss=0.3112 | eps=0.776 | beta=0.549 | stuck= 207.6
Ep  2175/10000 | steps= 2011898 | mean_r= -55798.2 | success= 12.0% | loss=0.3022 | eps=0.774 | beta=0.551 | stuck= 248.2
Ep  2200/10000 | steps= 2033706 | mean_r= -53058.5 | success= 20.0% | loss=0.2886 | eps=0.771 | beta=0.553 | stuck= 241.9
Ep  2225/10000 | steps= 2055922 | mean_r= -50678.8 | success= 24.0% | loss=0.2827 | eps=0.769 | beta=0.554 | stuck= 227.0
Ep  2250/10000 | steps= 2078040 | mean_r= -42319.1 | success= 28.0% | loss=0.2664 | eps=0.766 | beta=0.556 | stuck= 180.6
Ep  2275/10000 | steps= 2099825 | mean_r= -49145.6 | success= 20.0% | loss=0.2640 | eps=0.764 | beta=0.557 | stuck= 218.9
Ep  2300/10000 | steps= 2122351 | mean_r= -38646.2 | success= 20.0% | loss=0.2289 | eps=0.761 | beta=0.559 | stuck= 164.9
Ep  2325/10000 | steps= 2145926 | mean_r= -46590.6 | success= 12.0% | loss=0.2309 | eps=0.759 | beta=0.561 | stuck= 201.8
Ep  2350/10000 | steps= 2166851 | mean_r= -50784.2 | success= 28.0% | loss=0.2124 | eps=0.756 | beta=0.563 | stuck= 227.3
Ep  2375/10000 | steps= 2190173 | mean_r= -56491.0 | success= 20.0% | loss=0.1990 | eps=0.754 | beta=0.564 | stuck= 253.4
Ep  2400/10000 | steps= 2212463 | mean_r= -47978.1 | success= 20.0% | loss=0.2037 | eps=0.751 | beta=0.566 | stuck= 211.1
Ep  2425/10000 | steps= 2234810 | mean_r= -44782.6 | success= 20.0% | loss=0.1850 | eps=0.749 | beta=0.568 | stuck= 200.7
Ep  2450/10000 | steps= 2256709 | mean_r= -42464.7 | success= 24.0% | loss=0.1958 | eps=0.746 | beta=0.569 | stuck= 180.2
Ep  2475/10000 | steps= 2279230 | mean_r= -54761.9 | success= 20.0% | loss=0.1845 | eps=0.744 | beta=0.571 | stuck= 245.1
Ep  2500/10000 | steps= 2301784 | mean_r= -49713.8 | success= 24.0% | loss=0.1788 | eps=0.741 | beta=0.573 | stuck= 224.2
Ep  2525/10000 | steps= 2324299 | mean_r= -42044.5 | success= 16.0% | loss=0.1678 | eps=0.739 | beta=0.574 | stuck= 173.1
Ep  2550/10000 | steps= 2347338 | mean_r= -58051.7 | success= 20.0% | loss=0.1534 | eps=0.736 | beta=0.576 | stuck= 268.4
Ep  2575/10000 | steps= 2369214 | mean_r= -40049.9 | success= 20.0% | loss=0.1452 | eps=0.733 | beta=0.578 | stuck= 167.0
Ep  2600/10000 | steps= 2392524 | mean_r= -48670.1 | success= 16.0% | loss=0.1724 | eps=0.731 | beta=0.579 | stuck= 214.9
Ep  2625/10000 | steps= 2417524 | mean_r= -63893.1 | success=  0.0% | loss=0.1372 | eps=0.728 | beta=0.581 | stuck= 282.2
Ep  2650/10000 | steps= 2437869 | mean_r= -34229.1 | success= 32.0% | loss=0.1319 | eps=0.726 | beta=0.583 | stuck= 139.6
Ep  2675/10000 | steps= 2461458 | mean_r= -45496.3 | success= 12.0% | loss=0.1226 | eps=0.723 | beta=0.585 | stuck= 200.1
Ep  2700/10000 | steps= 2485496 | mean_r= -40609.1 | success=  8.0% | loss=0.1210 | eps=0.720 | beta=0.586 | stuck= 165.2
Ep  2725/10000 | steps= 2507948 | mean_r= -37309.6 | success= 24.0% | loss=0.1164 | eps=0.718 | beta=0.588 | stuck= 158.3
Ep  2750/10000 | steps= 2531153 | mean_r= -35052.9 | success= 16.0% | loss=0.1109 | eps=0.715 | beta=0.590 | stuck= 140.6
Ep  2775/10000 | steps= 2555030 | mean_r= -37510.2 | success= 16.0% | loss=0.1060 | eps=0.713 | beta=0.592 | stuck= 150.4
